type,title,link,,,,,,,,,,,,,,,,,,
"Resolução do Concelho de Ministros nº 31/2023, de 24 de março de 2023",Plano Nacional de Gestão de Resíduos 2030,https://diariodarepublica.pt/dr/detalhe/resolucao-conselho-ministros/31-2023-210923319,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 107/2009,Regime de protecção das albufeiras de águas públicas de serviço público e das lagoas ou lagos de águas públicas,https://diariodarepublica.pt/dr/detalhe/decreto-lei/107-2009-608704,,,,,,,,,,,,,,,,,,
Regulamento nº 594/2018,Regulamento de Relações Comerciais dos Serviços de Águas e Resíduos - RRCAR,https://diariodarepublica.pt/dr/legislacao-consolidada/regulamento/2018-169069981,,,,,,,,,,,,,,,,,,
Lei n.º 7/2009,Código do Trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2009-34546475,,,,,,,,,,,,,,,,,,
Lei n.º 102/2009,Regime jurídico da promoção da segurança e saúde no trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2009-56365341,,,,,,,,,,,,,,,,,,
Portaria n.º 53/1971,Regulamento geral de segurança e higiene do trabalho nos estabelecimentos industriais,https://diariodarepublica.pt/dr/detalhe/portaria/53-1971-446313,,,,,,,,,,,,,,,,,,
Portaria n.º 702/1980,Regulamento geral de segurança e higiene do trabalho nos estabelecimentos industriais,https://diariodarepublica.pt/dr/detalhe/portaria/702-1980-460474,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 347/1993,Prescrições mínimas de segurança e de saúde nos locais de trabalho,https://diariodarepublica.pt/dr/detalhe/decreto-lei/347-1993-646303,,,,,,,,,,,,,,,,,,
Portaria n.º 987/1993,Prescrições mínimas de segurança e de saúde nos locais de trabalho,https://diariodarepublica.pt/dr/detalhe/portaria/987-1993-644973,,,,,,,,,,,,,,,,,,
Lei n.º 42/2012,"Regimes de acesso e de exercício das profissões
 de técnico superior de segurança no trabalho e de técnico de segurança no trabalho",https://diariodarepublica.pt/dr/detalhe/lei/42-2012-174778,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 182/2006,Prescrições mínimas de segurança e saúde em matéria de exposição dos trabalhadores aos riscos devidos ao ruído,https://diariodarepublica.pt/dr/detalhe/decreto-lei/182-2006-539986,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 46/2006,Prescrições mínimas de proteção da saúde e segurança dos trabalhadores em caso de exposição aos riscos devidos a vibrações,https://diariodarepublica.pt/dr/detalhe/decreto-lei/46-2006-694051,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 349/1993,Prescrições mínimas de segurança e de saúde respeitantes ao trabalho com equipamentos dotados de visor,https://diariodarepublica.pt/dr/detalhe/decreto-lei/349-1993-646299,,,,,,,,,,,,,,,,,,
Portaria n.º 989/1993,Prescrições mínimas de segurança e de saúde respeitantes ao trabalho com equipamentos dotados de visor,https://diariodarepublica.pt/dr/detalhe/portaria/989-1993-644961,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 330/1993,Prescrições mínimas de segurança e de saúde na movimentação manual de cargas,https://diariodarepublica.pt/dr/detalhe/decreto-lei/330-1993-653125,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 348/1993,Prescrições mínimas de segurança e de saúde dos trabalhadores na utilização de equipamentos de proteção individual,https://diariodarepublica.pt/dr/detalhe/decreto-lei/348-1993-646298,,,,,,,,,,,,,,,,,,
Portaria n.º 988/1993,Prescrições mínimas de segurança e de saúde dos trabalhadores na utilização de equipamento de proteção individual,https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/1993-172878308,,,,,,,,,,,,,,,,,,
Portaria n.º 208/2021,Prescrições mínimas de segurança e de saúde dos trabalhadores na utilização de equipamento de proteção individual,https://diariodarepublica.pt/dr/detalhe/portaria/208-2021-172878297,,,,,,,,,,,,,,,,,,
Portaria n.º 1131/1993,Exigências relativas à saúde e segurança aplicáveis aos Equipamentos de Proteção Individual,https://diariodarepublica.pt/dr/detalhe/portaria/1131-1993-665722,,,,,,,,,,,,,,,,,,
Portaria n.º 109/1996,Exigências relativas à saúde e segurança aplicáveis aos equipamentos de proteção individual,https://diariodarepublica.pt/dr/detalhe/portaria/109-1996-555421,,,,,,,,,,,,,,,,,,
